user_device,user_osName,user_browserName,user_lat_lng,dest_lat_lng,booked_flight,booked_hotel,booked_rental
Desktop,Windows,Firefox,"86.610198,-92.127403","14.126627,160.840938",0.0,0.0,0.0
Tablet,macOS,Chrome,"52.389203,-18.919029",,1.0,0.0,0.0
Mobile,Linux,Opera,"-29.734114,-106.751987","-1.904763,58.252367",0.0,,0.0
Mobile,iOS,Chrome,"24.012701,-59.875874","-40.725562,-145.939283",0.0,0.0,0.0
Tablet,Linux,Edge,"56.325377,168.647346","49.987087,-89.369807",0.0,0.0,0.0
,Linux,Chrome,,,0.0,1.0,0.0
Desktop,Windows,Chrome,"-33.206796,-11.839764","27.036704,67.481512",0.0,0.0,1.0
Mobile,Linux,Opera,"-35.825973,169.36805","72.298698,140.767423",0.0,0.0,0.0
Desktop,macOS,Edge,"50.256295,167.810664","36.924429,-64.033539",0.0,0.0,0.0
Desktop,iOS,Firefox,"-22.816808,-70.31705","-22.567277,-42.587375",0.0,1.0,0.0
Desktop,Windows,Safari,"-16.674745,8.220022","-66.666195,161.023306",,1.0,0.0
Tablet,Windows,Chrome,,,1.0,1.0,0.0
Mobile,,Edge,"-6.627622,-75.895657","80.363483,123.560681",0.0,1.0,0.0
Tablet,macOS,Safari,"-32.607617,70.901373","75.393594,-77.168014",,0.0,0.0
Tablet,Linux,Firefox,"12.160446,-4.862113","-29.597411,-10.826844",0.0,0.0,0.0
Desktop,,Safari,"-53.500666,135.164047",,0.0,0.0,0.0
Mobile,macOS,Firefox,"50.583681,-129.370103","-88.343697,135.913166",0.0,0.0,0.0
Desktop,Android,Safari,"-23.870078,15.167554","-60.787073,0.305218",0.0,,0.0
Mobile,iOS,Firefox,"-8.219048,-36.793498","77.188769,115.553715",0.0,0.0,0.0
Desktop,macOS,,"39.389742,-160.378738","49.702424,37.96043",0.0,0.0,0.0
Mobile,Linux,Safari,"-5.146139,-85.614591","-11.470773,-19.426546",0.0,,
Mobile,iOS,Firefox,"-74.768691,-12.640623","-74.346191,-156.677056",0.0,,0.0
Desktop,,Edge,,"61.818933,-32.885248",0.0,1.0,0.0
,Linux,Opera,"1.261571,170.535233","-80.277112,58.699539",0.0,0.0,0.0
Tablet,macOS,,"33.165901,-79.336153","32.994432,-98.121471",0.0,0.0,0.0
Tablet,Android,Safari,"-21.166911,-33.792065","-16.070474,26.432665",,0.0,0.0
Mobile,iOS,Safari,"-62.345228,-122.164492","17.330718,4.001577",0.0,0.0,0.0
Desktop,iOS,Safari,"-63.28895,7.79909","-24.444637,-155.224778",0.0,1.0,
Desktop,iOS,Opera,,,0.0,0.0,0.0
Tablet,macOS,Safari,"85.998093,-134.685154","-53.47032,157.855984",0.0,0.0,0.0
Desktop,iOS,Chrome,"87.565393,-11.997384","25.275063,30.782922",0.0,0.0,0.0
Mobile,Linux,Chrome,"-50.646098,159.581097","-16.820667,-61.370907",0.0,0.0,0.0
Mobile,Linux,Edge,"-5.649604,-54.955096","-57.634566,-158.348489",,0.0,0.0
Mobile,Windows,Opera,,"24.209576,100.512162",1.0,1.0,0.0
Tablet,iOS,Edge,"86.259512,-70.569562","64.39728,80.750819",0.0,0.0,
Mobile,Android,,"86.005066,-61.122605","71.451159,173.810344",0.0,0.0,0.0
Tablet,Windows,Safari,"-48.344676,-113.988894","83.100234,33.202902",0.0,1.0,
Tablet,iOS,,"-15.866189,-94.749679","-49.643999,-141.712044",,0.0,0.0
Mobile,iOS,Firefox,"35.448833,-93.682175","88.9065,-68.979517",0.0,0.0,0.0
Tablet,macOS,Opera,"60.371432,120.244053","-83.885209,-39.223405",0.0,0.0,0.0
Tablet,macOS,Firefox,"-38.605253,91.274447","44.657952,140.687995",0.0,0.0,0.0
Mobile,Linux,Opera,"64.358258,32.447824","-4.038508,-74.149591",0.0,0.0,0.0
Mobile,,Opera,"-24.060166,-21.251813",,0.0,0.0,0.0
Tablet,Windows,Safari,"51.521196,-74.405713","-74.514674,139.589894",1.0,0.0,0.0
Tablet,Windows,,"-29.79678,-122.117639","28.045268,-166.747637",0.0,1.0,0.0
Desktop,Linux,Edge,"-18.170567,-148.854552","-88.369787,-148.420234",0.0,0.0,0.0
Mobile,Android,Chrome,"-32.213801,-45.547423",,0.0,0.0,0.0
Desktop,Android,Chrome,"-44.013756,-143.511077","-29.645785,-90.254372",0.0,0.0,0.0
Tablet,Android,Safari,,"1.234437,-150.105519",0.0,0.0,0.0
Desktop,Windows,Chrome,"-29.583946,-94.751434","21.092483,-43.01014",0.0,0.0,0.0
Tablet,iOS,Opera,"-38.693121,130.279385",,0.0,,0.0
Desktop,Windows,Chrome,"5.005366,-132.915474","-86.694088,-120.060697",0.0,,0.0
Tablet,iOS,Edge,"37.659897,-124.427184","-4.673787,57.124895",1.0,1.0,0.0
Tablet,macOS,Chrome,"-79.156007,-87.953444","38.722671,113.847575",0.0,0.0,0.0
Tablet,Linux,Chrome,,"-81.140649,-173.346048",0.0,0.0,0.0
Mobile,Android,Edge,"-2.778047,80.663238","18.091032,80.577701",1.0,0.0,1.0
,,,"2.082789,-29.157863",,0.0,0.0,0.0
